iter	Passed	Remaining
0	1	171
1	3	151
2	4	140
3	5	129
4	6	127
5	8	125
6	9	123
7	10	122
8	11	120
9	13	118
10	14	120
11	16	119
12	17	118
13	18	116
14	20	114
15	21	112
16	22	110
17	23	108
18	24	106
19	26	104
20	27	102
21	28	100
22	29	99
23	31	98
24	32	97
25	33	95
26	34	94
27	36	92
28	37	91
29	38	89
30	39	88
31	40	86
32	41	85
33	43	83
34	44	82
35	45	81
36	47	80
37	48	79
38	50	78
39	51	77
40	53	76
41	53	74
42	55	73
43	56	71
44	57	70
45	59	70
46	61	69
47	62	67
48	64	66
49	65	65
50	67	64
51	68	63
52	70	62
53	71	60
54	72	59
55	73	58
56	75	56
57	76	55
58	78	54
59	79	53
60	81	51
61	82	50
62	84	49
63	85	48
64	87	47
65	88	45
66	90	44
67	91	43
68	93	41
69	94	40
70	96	39
71	97	37
72	99	36
73	100	35
74	102	34
75	103	32
76	104	31
77	106	30
78	107	28
79	109	27
80	110	25
81	112	24
82	113	23
83	115	22
84	117	20
85	119	19
86	120	18
87	122	16
88	123	15
89	124	13
90	126	12
91	128	11
92	129	9
93	131	8
94	132	6
95	134	5
96	135	4
97	136	2
98	138	1
99	139	0
