iter	Passed	Remaining
0	130	130071
1	132	66239
2	134	44776
3	136	33937
4	137	27421
5	138	22953
6	140	19863
7	141	17548
8	144	15958
9	146	14525
10	148	13333
11	149	12324
12	151	11469
13	152	10743
14	154	10114
15	156	9600
16	158	9165
17	159	8724
18	161	8358
19	163	8023
20	165	7707
21	166	7412
22	168	7146
23	169	6898
24	171	6693
25	173	6494
26	174	6297
27	176	6119
28	177	5953
29	179	5798
30	180	5654
31	182	5518
32	183	5386
33	186	5286
34	188	5186
35	189	5077
36	191	4974
37	192	4873
38	194	4782
39	195	4693
40	196	4607
41	198	4531
42	201	4490
43	203	4414
44	204	4341
45	206	4275
46	207	4210
47	209	4146
48	210	4085
49	212	4029
50	215	4001
51	216	3955
52	218	3901
53	219	3846
54	221	3808
55	223	3769
56	225	3722
57	226	3677
58	228	3646
59	230	3610
60	231	3568
61	233	3527
62	235	3498
63	236	3461
64	238	3426
65	239	3394
66	241	3362
67	244	3354
68	246	3326
69	248	3302
70	250	3272
71	251	3243
72	253	3216
73	255	3194
74	256	3166
75	260	3167
76	262	3146
77	264	3121
78	265	3098
79	267	3073
80	268	3049
81	270	3028
82	272	3009
83	274	2998
84	276	2975
85	278	2955
86	279	2932
87	281	2913
88	282	2896
89	284	2877
90	286	2858
91	289	2854
92	290	2835
93	292	2818
94	294	2802
95	295	2786
96	297	2770
97	299	2754
98	300	2736
99	303	2732
100	305	2718
101	307	2703
102	308	2689
103	310	2677
104	312	2666
105	314	2652
106	317	2651
107	319	2640
108	321	2627
109	323	2615
110	325	2603
111	326	2591
112	328	2578
113	330	2567
114	333	2566
115	335	2554
116	336	2541
117	338	2528
118	339	2516
119	341	2503
120	343	2491
121	343	2474
122	345	2462
123	348	2463
124	350	2452
125	352	2444
126	354	2433
127	355	2421
128	357	2411
129	358	2401
130	362	2403
131	363	2391
132	365	2382
133	368	2383
134	371	2380
135	374	2380
136	379	2387
137	381	2383
138	383	2376
139	384	2364
140	386	2354
141	387	2343
142	389	2332
143	390	2322
144	393	2321
145	395	2311
146	396	2301
147	397	2290
148	399	2280
149	400	2271
150	402	2261
151	403	2251
152	405	2242
153	407	2240
154	409	2231
155	410	2222
156	411	2211
157	412	2199
158	415	2195
159	416	2187
160	417	2178
161	419	2169
162	420	2160
163	422	2155
164	424	2147
165	425	2139
166	427	2130
167	428	2123
168	430	2117
169	432	2109
170	433	2101
171	435	2095
172	437	2091
173	439	2084
174	440	2077
175	442	2069
176	443	2063
177	445	2056
178	446	2049
179	448	2041
180	449	2034
181	452	2031
182	453	2025
183	455	2019
184	456	2012
185	458	2005
186	459	1998
187	461	1991
188	462	1984
189	463	1976
190	464	1966
191	465	1960
192	467	1953
193	468	1947
194	471	1944
195	472	1940
196	474	1935
197	476	1928
198	478	1927
199	480	1922
200	482	1916
201	483	1910
202	484	1903
203	486	1897
204	487	1892
205	489	1886
206	490	1880
207	492	1876
208	495	1876
209	497	1870
210	498	1862
211	499	1856
212	500	1850
213	502	1845
214	504	1840
215	505	1834
216	506	1826
217	508	1825
218	510	1820
219	512	1815
220	514	1811
221	515	1807
222	517	1802
223	518	1796
224	519	1790
225	521	1784
226	528	1798
